id,Label,latitude,longitude
73,CYHM,43.173599243199995,-79.93499755859999
74,CYHR,50.46889877319336,-59.63669967651367
75,CYHU,45.5175018311,-73.4169006348
76,CYHY,60.8396987915,-115.782997131
77,CYHZ,44.880798339799995,-63.508598327600005
78,CYIK,62.41730117797852,-77.92530059814453
79,CYKA,50.702201843299996,-120.444000244
80,CYKF,43.4608001709,-80.3786010742
81,CYKG,61.5886001587,-71.929397583
82,CYKL,54.80530166625977,-66.8052978515625
83,CYKO,60.81859970092773,-78.14859771728516
84,CYKQ,51.47330093383789,-78.75830078125
85,CYLA,59.29669952392578,-69.59970092773439
86,CYLL,53.30920028686523,-110.072998046875
87,CYLU,58.71139907836914,-65.9927978515625
88,CYLW,49.9561004639,-119.377998352
89,CYMM,56.653301238999994,-111.22200012200001
90,CYMO,51.291099548339844,-80.60780334472656
91,CYMT,49.77190017700195,-74.5280990600586
92,CYMU,56.53609848022461,-76.51830291748047
93,CYNA,50.18999862670898,-61.78919982910156
94,CYOW,45.3224983215332,-75.66919708251953
95,CYPH,58.471900939941406,-78.07689666748047
96,CYPL,51.4463996887207,-90.21420288085938
97,CYPN,49.83639907836914,-64.28859710693361
98,CYPR,54.2860984802,-130.445007324
99,CYPW,49.83420181274414,-124.5
100,CYPX,60.05059814453125,-77.28690338134766
101,CYPY,58.7672004699707,-111.11699676513672
102,CYQB,46.7911,-71.393303
103,CYQD,53.97140121459961,-101.09100341796876
104,CYQF,52.18220138549805,-113.8939971923828
105,CYQG,42.27560043334961,-82.95559692382812
106,CYQL,49.6302986145,-112.80000305200001
107,CYQM,46.11220169067383,-64.67859649658203
108,CYQQ,49.71080017089844,-124.88700103759766
109,CYQR,50.43190002441406,-104.66600036621094
110,CYQT,48.37189865112305,-89.32389831542969
111,CYQU,55.1796989441,-118.885002136
112,CYQX,48.9369010925293,-54.56809997558594
113,CYQY,46.1614,-60.047798
114,CYQZ,53.026100158691406,-122.51000213623048
115,CYRA,64.11609649658203,-117.30999755859376
116,CYPM,51.81969833374024,-93.97329711914062
117,CYRL,51.06689834594727,-93.79309844970705
118,CYRT,62.811401367200006,-92.1157989502
119,CYSB,46.625,-80.79889678955078
120,CYSJ,45.31610107421875,-65.89029693603516
121,CYSM,60.020301818847656,-111.96199798583984
122,CYHI,70.76280212402344,-117.80599975585938
123,CYTH,55.80110168457031,-97.86419677734376
124,CYTL,53.81779861450195,-89.89689636230469
125,CYTQ,58.66780090332031,-69.95580291748047
126,CYTS,48.569698333699996,-81.376701355
127,CYTZ,43.627499,-79.396202
128,CYUL,45.4706001282,-73.7407989502
129,CYUY,48.20610046386719,-78.83560180664062
130,CYVM,67.5457992554,-64.03140258789999
131,CYVQ,65.28160095214844,-126.7979965209961
132,CYVR,49.193901061999995,-123.183998108
133,CYFO,54.6781005859375,-101.68199920654295
134,CYWG,49.909999847399995,-97.2398986816
135,CYWJ,65.21109771728516,-123.43599700927734
136,CYWK,52.92190170288086,-66.86440277099611
137,CYLH,52.19559860229492,-87.93419647216797
138,CYXC,49.610801696777,-115.78199768066001
139,CYXE,52.170799255371094,-106.6999969482422
140,CYXJ,56.23809814453125,-120.73999786376952
141,CNM5,53.01250076293945,-89.85530090332031
142,CYAC,51.72719955444336,-91.82440185546876
143,CYER,56.01890182495117,-87.67610168457031
144,CYXL,50.11389923095703,-91.9052963256836
145,CYXS,53.8894004822,-122.679000854
146,CYXU,43.035599,-81.1539
147,CYXX,49.02529907226562,-122.36100006103516
148,CYXY,60.709598541300004,-135.067001343
149,CYYB,46.363602,-79.422798
150,CYYC,51.113899231000005,-114.019996643
151,CYYG,46.290000915527344,-63.12110137939453
152,CYYH,69.5466995239,-93.57669830319999
153,CYYJ,48.646900177,-123.426002502
154,CYYR,53.3191986084,-60.425800323500006
155,CYYT,47.618598938000005,-52.751899719200004
156,CYYY,48.60860061645508,-68.20809936523439
157,CYYZ,43.6772003174,-79.63059997559999
158,CYCO,67.816704,-115.143997
159,DAAE,36.712001800500005,5.0699200630200005
160,DAAG,36.691001892089844,3.215409994125366
161,DAAJ,24.292801,9.45244
162,DAAS,36.178100585900005,5.32449007034
163,DAAT,22.8115005493,5.45107984543
164,DABB,36.822201,7.8091740000000005
